sensitive_id,allbus_variable,sensitive_text,pi_allbus,n_allbus
sens_1,ma01b,Die in Deutschland lebenden Ausländer sollten ihren Lebensstil besser anpassen.,0.672370963290091,3623
sens_2,ma02,"Wenn Arbeitsplätze knapp werden, sollte man die in Deutschland lebenden Ausländer in ihre Heimat zurückschicken.",0.14745011086474502,3608
sens_3,ma03,Man sollte den in Deutschland lebenden Ausländern jede politische Betätigung in Deutschland untersagen.,0.18933925596890616,3602
sens_4,ma04,Die in Deutschland lebenden Ausländer sollten sich ihre Ehepartner unter ihren eigenen Landsleuten auswählen.,0.0727524204702628,3615
sens_5,mp02,Die in Deutschland lebenden Ausländer sind eine Belastung für das soziale Netz.,0.35835418404225744,3597
sens_6,ca13,"Ein Mann, der homosexuelle Beziehungen zu einem anderen Mann hat, verhält sich schlimm.",0.10958134307389716,3559
sens_7,ca08,"Ein Mann, der seine Ehefrau zum Geschlechtsverkehr zwingt, verhält sich schlimm.",0.9841004184100418,3585
sens_8,fr10,"Auch wenn beide Eltern erwerbstätig sind, ist es besser, wenn die Verantwortung für den Haushalt und die Kinder hauptsächlich bei der Frau liegt.",0.15648535564853555,3585
sens_9,fr04b,"Es ist für alle Beteiligten viel besser, wenn der Mann voll im Berufsleben steht und die Frau zu Hause bleibt und sich um den Haushalt und die Kinder kümmert.",0.1813355685945795,3579
sens_10,fr03b,"Ein Kleinkind wird sicherlich darunter leiden, wenn seine Mutter berufstätig ist.",0.3317442512619181,3566
sens_11,pi08,Das Weltklima hat sich nicht vor allem durch menschliches Handeln verändert.,0.09694895922440833,3507
sens_12,mm03,Die Anwesenheit von Muslimen in Deutschland führt zu Konflikten.,0.4464130119082196,3443
sens_13,mm04,Islamische Gemeinschaften sollten vom Staat beobachtet werden.,0.433411214953271,3424
sens_14,mm05,Ich hätte etwas gegen einen muslimischen Bürgermeister in meiner Gemeinde.,0.3845702552068055,3409
